player,country,age,attack,block,serve,set,dig,receive,position
Stoyanova,BUL,19,1.67,0.67,0.11,0.0,0.56,0.0,OP
Gonzalez,DOM,22,1.67,0.44,0.0,0.0,0.44,0.11,MB
Cambi,ITA,28,1.67,0.11,0.33,6.78,3.44,0.0,S
Bergmann,BRA,23,1.62,0.25,0.12,0.0,0.25,0.75,OH
Hoyoung,KOR,23,1.56,1.11,0.22,0.0,0.11,0.0,MB
Watanabe,JPN,33,1.56,0.78,0.0,0.0,1.33,0.0,MB
Iwasaki,JPN,35,1.56,0.78,0.78,22.78,7.11,0.0,S
Bonifacio,ITA,28,1.56,1.44,0.22,0.0,0.67,0.11,MB
Kästner,GER,26,1.38,0.38,0.62,26.88,7.88,0.0,S
Omoruyi,ITA,21,1.25,0.25,0.0,0.0,2.0,0.5,OH
Strubbe,GER,23,1.25,0.75,1.0,0.0,0.25,0.0,MB
E. Şahin,TUR,23,1.25,0.88,1.12,12.62,5.62,0.0,S
Piasecka,POL,21,1.17,0.0,0.0,0.0,0.67,1.33,OH
Barakova,BUL,30,1.11,0.56,0.22,12.89,7.44,0.0,S
Orro,ITA,26,1.0,0.6,0.4,18.8,5.0,0.0,S
Marte,DOM,33,1.0,0.11,0.78,13.11,6.78,0.0,S
K. Kuttika,THA,30,1.0,0.0,0.0,0.0,0.25,0.5,OH
Airi,JPN,26,1.0,0.33,0.0,0.0,1.22,0.11,MB
Arias,DOM,32,0.89,0.56,0.33,0.0,0.89,0.22,MB
Poulter,USA,27,0.89,0.44,0.33,13.0,5.11,0.0,S
S. Donphon,THA,20,0.75,0.25,0.38,0.12,1.12,0.25,S
A. Saykova,BUL,21,0.67,0.33,0.11,0.0,0.33,0.0,MB
Helena,BRA,19,0.67,0.0,0.0,0.0,0.33,0.33,OH
Malešević,SRB,22,0.67,0.11,0.33,0.0,1.44,0.0,MB
Wenerska,POL,31,0.62,0.12,0.75,9.12,2.75,0.0,S
Nervini,ITA,20,0.62,0.0,0.12,0.0,1.38,0.38,OH
Roberta,BRA,34,0.62,0.0,0.88,10.25,5.38,0.0,S
Hancock,USA,31,0.6,0.6,0.4,3.6,2.4,0.0,S
Carlini,USA,29,0.6,0.4,0.0,13.8,3.4,0.0,S
Zheng Y.X.,CHN,29,0.56,0.0,0.0,0.0,0.22,0.0,OP
Pacak,POL,28,0.5,0.5,0.0,0.0,0.5,0.0,MB
Wołosz,POL,34,0.5,0.0,0.5,14.5,8.0,0.0,S
Daalderop,NED,25,0.5,0.0,0.0,0.0,0.67,0.5,OH
Damaske,POL,23,0.5,0.0,0.0,0.0,0.25,0.5,OH
Van Buskirk,CAN,26,0.44,0.0,0.0,0.0,0.0,0.0,MB
Stojiljkovic,FRA,27,0.44,0.44,0.44,13.56,3.44,0.0,S
Zhang C.N.,CHN,28,0.44,0.0,0.11,0.0,0.78,0.11,OH
Racheva,BUL,25,0.4,0.0,0.0,0.0,0.0,0.0,OH
Bongaerts,NED,27,0.38,0.75,0.25,14.0,4.25,0.0,S
Van Aalen,NED,24,0.33,0.56,0.22,9.22,3.0,0.0,S
Bosio,ITA,27,0.25,0.25,0.0,3.0,1.75,0.0,S
Rachkovska,BUL,27,0.25,0.0,0.0,0.0,0.75,0.25,OH
G. Pornpun,THA,31,0.25,0.0,0.0,5.75,3.0,0.0,S
B. Tichakorn,THA,23,0.25,0.0,0.0,0.0,0.0,0.25,MB
Fanguedou,FRA,21,0.25,0.0,0.0,0.0,0.25,0.0,MB
Mingardi,ITA,26,0.25,0.0,0.0,0.0,0.0,0.0,OH
J. Natthanicha,THA,26,0.25,0.0,0.12,21.5,6.0,0.0,S
Diao L.Y.,CHN,30,0.22,0.56,0.56,24.33,9.44,0.0,S
Jatzko,GER,24,0.22,0.0,0.11,0.0,0.33,0.11,OH
Savard,CAN,31,0.22,0.11,0.22,0.0,0.33,0.56,OH
Seungju,KOR,32,0.22,0.0,0.0,0.0,0.67,0.44,OH
Luzia,BRA,20,0.17,0.0,0.0,0.0,0.17,0.0,MB
Pri Daroit,BRA,36,0.14,0.0,0.0,0.0,0.14,0.0,OH
Seki,JPN,25,0.14,0.0,0.0,1.71,0.43,0.0,S
Macris,BRA,35,0.12,0.12,0.0,5.38,2.5,0.0,S
Joseph,CAN,29,0.11,0.0,0.0,0.0,0.0,0.0,OP
Straube,GER,22,0.11,0.11,0.11,3.67,1.67,0.0,S
Kurogo,JPN,26,0.11,0.11,0.11,0.0,0.67,0.11,OH
Stautz,GER,30,0.11,0.0,0.11,0.0,0.44,0.44,OH
Ogoms,CAN,30,0.11,0.11,0.22,0.0,0.22,0.0,MB
Respaut,FRA,21,0.11,0.11,0.33,1.44,2.0,0.0,S
Cvetkovic,SRB,22,0.0,0.0,0.0,0.0,1.0,0.0,OH
Aykaç,TUR,28,0.0,0.0,0.0,0.0,1.38,0.5,OH
Fleck,USA,23,0.0,0.0,0.0,0.0,3.0,1.5,L
Szczygłowska,POL,26,0.0,0.0,0.0,0.0,12.0,4.5,L
Aköz,TUR,33,0.0,0.0,0.0,0.0,6.0,1.5,L
T. Wimonrat,THA,22,0.0,0.0,0.0,0.0,0.0,0.0,MB
Fersino,ITA,24,0.0,0.0,0.0,0.0,4.62,3.25,L
Tamaki,JPN,26,0.0,0.0,0.0,8.0,1.67,0.0,S
Ariana,DOM,18,0.0,0.11,0.33,1.11,0.89,0.0,S
Wong-Orantes,USA,28,0.0,0.0,0.0,0.0,9.33,3.56,L
Dahye,KOR,29,0.0,0.0,0.0,0.0,9.89,3.67,L
Ding X.,CHN,34,0.0,0.0,0.0,1.12,0.25,0.0,S
Fukudome,JPN,26,0.0,0.0,0.0,0.0,6.78,0.33,L
Dijkema,NED,34,0.0,0.0,0.0,0.75,0.0,0.0,S
Baker,CAN,27,0.0,0.0,0.44,0.33,0.67,0.0,S
Bernard,FRA,29,0.0,0.0,0.0,0.0,1.0,1.0,L
Wang M.J.,CHN,28,0.0,0.0,0.0,0.0,11.78,3.44,L
De Gennaro,ITA,37,0.0,0.0,0.0,0.0,10.8,3.6,L
Todorova,BUL,27,0.0,0.0,0.0,0.0,6.56,1.0,L
Cesar,GER,27,0.0,0.0,0.0,0.0,0.0,0.11,L
Chaewon,KOR,27,0.0,0.0,0.0,0.0,0.67,0.22,L
Dain,KOR,25,0.0,0.11,0.44,23.33,6.44,0.0,S
Natinha,BRA,27,0.0,0.0,0.0,0.0,1.25,1.38,L
Gelin,FRA,22,0.0,0.0,0.0,0.0,11.0,7.0,L
Giardino,FRA,29,0.0,0.0,0.0,0.0,6.25,4.88,L
Kojima,JPN,29,0.0,0.0,0.0,0.0,6.89,4.89,L
Perović,SRB,23,0.0,0.0,1.0,4.0,6.0,0.0,S
Larysmer,DOM,27,0.0,0.0,0.0,0.0,7.78,2.11,L
Pashkuleva,BUL,20,0.0,0.0,0.0,0.0,5.89,1.0,L
Łysiak,POL,25,0.0,0.0,0.0,0.0,0.88,0.12,L
P. Supattra,THA,34,0.0,0.0,0.0,0.0,8.5,0.0,L
P. Piyanut,THA,34,0.0,0.0,0.0,0.0,7.38,5.25,L
Özbay,TUR,27,0.0,0.0,0.25,3.38,1.75,0.0,S
Örge,TUR,31,0.0,0.0,0.0,0.0,8.62,3.0,L
Medved,SRB,22,0.0,0.0,0.0,0.0,11.0,11.0,L
Miljevic,SRB,26,0.0,0.78,0.22,4.44,2.44,0.0,S
Murmann,CAN,21,0.0,0.0,0.0,0.0,4.67,1.44,L
Nyeme,BRA,25,0.0,0.0,0.0,0.12,11.62,4.88,L
N. Jidapa,THA,22,0.0,0.0,0.0,0.0,3.5,0.5,L
Ni F.F.,CHN,23,0.0,0.0,0.0,0.0,0.22,0.0,L
Kohn,GER,21,0.0,0.0,0.0,0.0,1.0,0.0,S
Knip,NED,31,0.0,0.0,0.0,0.0,0.67,0.17,L
Pogany,GER,30,0.0,0.0,0.0,0.0,11.11,3.44,L
S. Kanokporn,THA,19,0.0,0.0,0.0,0.5,0.25,0.0,S
Guncheva,BUL,18,0.0,0.0,0.2,3.0,2.0,0.0,S
Spirito,ITA,30,0.0,0.0,0.0,0.0,3.2,0.8,L
H. Jasper,NED,23,0.0,0.0,0.0,0.0,0.33,0.67,L
Shahpazova,BUL,26,0.0,0.0,0.0,0.75,0.75,0.0,S
Hentz,USA,26,0.0,0.0,0.0,0.0,2.2,0.4,L
Sarang,KOR,20,0.0,0.0,0.0,0.12,0.0,0.0,S
Jegdić,SRB,29,0.0,0.0,0.0,0.0,7.75,1.75,L
Popović S.,SRB,38,0.0,0.0,0.0,0.0,5.62,1.88,L
Jeongmin,KOR,21,0.0,0.0,0.11,0.0,0.11,0.0,MB
Jiwon,KOR,22,0.0,0.0,0.22,1.89,0.22,0.0,S
Rodriguez,DOM,24,0.0,0.0,0.0,0.11,5.22,1.67,L
Reesink,NED,26,0.0,0.0,0.0,0.0,9.33,3.33,L
Pušić,SRB,31,0.0,0.0,0.0,0.0,5.75,2.12,L
Jost,CAN,24,0.0,0.0,0.0,0.0,5.33,1.11,L
Kowalewska,POL,32,0.0,0.0,0.0,5.5,1.25,0.0,S
